Actor;Movie
GeorgeClooney;The Perfect Storm 
MarkWahlberg;The Perfect Storm
CatherineZetaJones;America's Sweethearts
JuliaRoberts;America's Sweethearts
EdwardNorton;Rounders
MattDamon;Rounders 
BradPitt;Confessions of a Dangerous Mind 
GeorgeClooney;Confessions of a Dangerous Mind 
JuliaRoberts;Confessions of a Dangerous Mind
MattDamon;Confessions of a Dangerous Mind
EdwardNorton;Everyone Says I Love You 
JuliaRoberts;Everyone Says I Love You
BradPitt;The Mexican
JuliaRoberts;The Mexican 
BradPitt;Fight Club
EdwardNorton;Fight Club
GeorgeClooney;Syriana
MattDamon;Syriana
GeorgeClooney;Three Kings 
MarkWahlberg;Three Kings 
BradPitt;Ocean's Thirteen 
GeorgeClooney;Ocean's Thirteen;
MattDamon;Ocean's Thirteen 
GeorgeClooney;Out of Sight 
JenniferLopez;Out of Sight
BradPitt;Full Frontal 
JuliaRoberts;Full Frontal 
CatherineZetaJones;Chicago 
RichardGere;Chicago
BradPitt;Ocean's Twelve
CatherineZetaJones;Ocean's Twelve
GeorgeClooney;Ocean's Twelve
JuliaRoberts;Ocean's Twelve
MattDamon;Ocean's Twelve
BradPitt;Thelma & Louise
SusanSarandon;Thelma & Louise
MarkWahlberg;The Departed
MattDamon;The Departed
JenniferLopez;Shall We Dance
RichardGere;Shall We Dance 
SusanSarandon;Shall We Dance 
JuliaRoberts;Stepmom 
SusanSarandon;Stepmom 
BradPitt;Ocean's Eleven 
GeorgeClooney;Ocean's Eleven 
JuliaRoberts;Ocean's Eleven 
MattDamon;Ocean's Eleven 
JuliaRoberts;Runaway Bride
RichardGere;Runaway Bride
EdwardNorton;The Italian Job
MarkWahlberg;The Italian Job
JenniferLopez;Jersey Girl
MattDamon;Jersey Girl 
JuliaRoberts;Pretty Woman 
RichardGere;Pretty Woman; 
CatherineZetaJones;Intolerable Cruelty; 
GeorgeClooney;Intolerable Cruelty; 
