"Id";"variable";"value"
"brajenisek";"cesky jazyk a literatura (Ss)";1
"Rudolph";"cesky jazyk a literatura (Ss)";1
"Fox";"cesky jazyk a literatura (Ss)";1
"DemoX";"cesky jazyk a literatura (Ss)";1
"Pospa";"Anglicky jazyk  (Ss)";1
"brajenisek";"Anglicky jazyk  (Ss)";1
"«?»";"Anglicky jazyk  (Ss)";1
"Letajici spagetove monstrum";"Anglicky jazyk  (Ss)";1
"El Daniel";"Anglicky jazyk  (Ss)";1
"Rudolph";"Anglicky jazyk  (Ss)";1
"Vojta K.";"Anglicky jazyk  (Ss)";1
"Alex";"Anglicky jazyk  (Ss)";1
"leebro123";"Anglicky jazyk  (Ss)";1
"DemoX";"Anglicky jazyk  (Ss)";1
"keafe";"Anglicky jazyk  (Ss)";1
"Dinn";"Anglicky jazyk  (Ss)";1
"marcinko";"Anglicky jazyk  (Ss)";1
"Tomio";"Anglicky jazyk  (Ss)";1
"Lenochod";"Anglicky jazyk  (Ss)";1
"Bronco";"Anglicky jazyk  (Ss)";1
"random VSB student";"Anglicky jazyk  (Ss)";1
"Alex";"Dalsi cizi jazyk (Ss)";1
"Tess";"Dalsi cizi jazyk (Ss)";1
"brajenisek";"Zaklady spolecenskych ved (Ss)";1
"Rudolph";"Zaklady spolecenskych ved (Ss)";1
"Tess";"Zaklady spolecenskych ved (Ss)";1
"marcinko";"Zaklady spolecenskych ved (Ss)";1
"Tomio";"Zaklady spolecenskych ved (Ss)";1
"brajenisek";"Dejepis (Ss)";1
"JakubCH";"Dejepis (Ss)";1
"El Daniel";"Dejepis (Ss)";1
"Fox";"Dejepis (Ss)";1
"Jacobs";"Dejepis (Ss)";1
"Pat0072";"Dejepis (Ss)";1
"Mystik51";"Dejepis (Ss)";1
"Bronco";"Dejepis (Ss)";1
"«?»";"Matematika (Ss)";1
"JakubCH";"Matematika (Ss)";1
"ebola";"Matematika (Ss)";1
"El Daniel";"Matematika (Ss)";1
"Vojta K.";"Matematika (Ss)";1
"Fox";"Matematika (Ss)";1
"Tess";"Matematika (Ss)";1
"Pat0072";"Matematika (Ss)";1
"leebro123";"Matematika (Ss)";1
"keafe";"Matematika (Ss)";1
"lf OSU";"Matematika (Ss)";1
"Mystik51";"Matematika (Ss)";1
"Dinn";"Matematika (Ss)";1
"omar";"Matematika (Ss)";1
"Tomio";"Matematika (Ss)";1
"Lenochod";"Matematika (Ss)";1
"Lachtan";"Matematika (Ss)";1
"kufrik";"Matematika (Ss)";1
"Bronco";"Matematika (Ss)";1
"random VSB student";"Matematika (Ss)";1
"ebola";"Fyzika (Ss)";1
"Rudolph";"Fyzika (Ss)";1
"Vojta K.";"Fyzika (Ss)";1
"leebro123";"Fyzika (Ss)";1
"lf OSU";"Fyzika (Ss)";1
"Mystik51";"Fyzika (Ss)";1
"marcinko";"Fyzika (Ss)";1
"Tomio";"Fyzika (Ss)";1
"Lenochod";"Fyzika (Ss)";1
